i7 9700 8C/8T Up to 4.70 GHz boost;Location: Roodepoort;Age: Around 2 months;Price: R4500;https://carbonite.co.za/index.php?threads/i7-9700-8c-8t-up-to-4-70-ghz-boost.304949/
Intel® Core™ i7-8700K Processor;Location: CPT;Age: Not Sure;Price: R4500;https://carbonite.co.za/index.php?threads/intel%C2%AE-core%E2%84%A2-i7-8700k-processor.307402/
Intel i7 8700K and i7 9700K;Location: Springs;Age: Not sure, bought from here to test my system as I was having some thermal issues, turns out it was the motherboard;Price: R4200;https://carbonite.co.za/index.php?threads/intel-i7-8700k-and-i7-9700k.307696/
Intel® Core™ i7 - 8700K Processor with i7 STICKER for your case!;Location: CPT/Durbaville;Age: Purchased Feb 2018 from Takealot;Price: R4500 (FNB, FNB GeoPayment or Instant EFT from other Banks);https://carbonite.co.za/index.php?threads/intel%C2%AE-core%E2%84%A2-i7-8700k-processor-with-i7-sticker-for-your-case.307759/
Intel Core I7 9700K;Location: Centurion;Age: 2 years;Price: R4500;https://carbonite.co.za/index.php?threads/intel-core-i7-9700k.316917/
i7 8700 cpu;Location:Nelspruit mpumalanga;Age:1 year old;Price:4500;https://carbonite.co.za/index.php?threads/i7-8700-cpu.315678/
Intel I7 9700k 12M Cache, up to 4.90 GHz;Location: Centurion;Age: 14 Months;Price: R4500;https://carbonite.co.za/index.php?threads/intel-i7-9700k-12m-cache-up-to-4-90-ghz.318748/
Intel Core I7 9700k;Location: Centurion;Age: 2 years;Price: R4500;https://carbonite.co.za/index.php?threads/intel-core-i7-9700k.320172/
i7 9700k - R4500;Location: Kempton Park / Pretoria;Age: Not sure ~Thinking about about a year;Price: R4500;https://carbonite.co.za/index.php?threads/i7-9700k-r4500.320716/
Dell Optiplex 7040 i7 R4500.-;Location: Northgate;Age: 1 year old;Price: 4500;https://carbonite.co.za/index.php?threads/dell-optiplex-7040-i7-r4500.315183/
Intel® Core™ i7-8700K;Location: East rand JHB;Age: just under 2 years;Price: R4500;https://carbonite.co.za/index.php?threads/intel%C2%AE-core%E2%84%A2-i7-8700k.319732/
Intel i7 8700K - Delidded;Location: East Rand, JHB;Age: Unknown;Price: R4000;https://carbonite.co.za/index.php?threads/intel-i7-8700k-delidded.324957/
Intel 9700K;Location: Moreleta Park, Pretoria;Age: 2 years;Price: R4500;https://carbonite.co.za/index.php?threads/intel-9700k.326281/
Intel Core I7 9700 Desktop Processor;Location: Johannesburg South at Lenasia ext10;Age: New since release date.;Price: 4500;https://carbonite.co.za/index.php?threads/intel-core-i7-9700-desktop-processor.320380/
Intel I7-9700K CPU;Location: Johannesburg - Ruimsig;Age: 18 Months;Price: R4500-00;https://carbonite.co.za/index.php?threads/intel-i7-9700k-cpu.339487/
i7 9700 non k;Location: CPT;Age: less than a year;Price: R4199;https://carbonite.co.za/index.php?threads/i7-9700-non-k.307390/
2 X I7 9700 CPUs;Location: CPT;Age: a few months;Price: R4499 each + free shipping anywhere in SA;https://carbonite.co.za/index.php?threads/2-x-i7-9700-cpus.311371/
Intel i7 8700 with HSF;Location: Sandton;Age: About a year;Price: R4300;https://carbonite.co.za/index.php?threads/intel-i7-8700-with-hsf.304599/
Intel Core i7-4930K 3.4Ghz 6 Core Processor;Location: Westville, Kwazulu-Natal;Age: 5 Years;Price: 4200;https://carbonite.co.za/index.php?threads/intel-core-i7-4930k-3-4ghz-6-core-processor.304021/
